Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Rolando Mandragora,MF,0.4949015112711399,-0.4030466165089299,-0.7794807672460586,0.2380967483303371,0.06699750149842593,0.10843997580001695,1.3492285321731163,Italy,26.0,2.0,0.87481,3.695701045912526,3.8869385288299245
Kieffer Moore,"FW,MF",-1.138466549664219,0.44206612327268113,-0.2335133197120646,-0.20828233885814681,2.0664744189266244,-0.300251708848013,1.4163333333333332,England,30.0,1.0,0.99232,4.1686966666666665,3.887671489480755
Bertrand Traoré,MF,-0.6307980982924183,-0.35294761055491786,1.0254529154040664,0.11892246194867134,0.036702396688907735,-0.300251708848013,2.0444484685893136,Spain,27.0,3.0,0.8173900000000001,4.233239004583054,3.888285335037218
Bertrand Traoré,MF,-0.6307980982924183,-0.35294761055491786,1.0254529154040664,0.11892246194867134,0.036702396688907735,-0.300251708848013,2.0444484685893136,England,27.0,1.0,0.99232,4.276971504583054,3.888285335037218
Lucas Höler,"FW,MF",1.2862021191702293,0.06262775030950883,-0.5471682464592145,-0.5354671956639117,0.36994854959360757,-0.10792621019011657,0.871065075921909,Germany,29.0,4.0,0.78425,3.662254799349242,3.8894620562355997
Kamil Jóźwiak,MF,-0.6274872170878196,-0.35294761055491786,0.0663985607028546,-0.2136622675567695,-0.44801928026338284,0.08439928846777987,1.3415812970839245,Spain,25.0,3.0,0.8173900000000001,3.576375343104551,3.8901811373753956
Chris Bedia,"FW,MF",-1.097632348140835,0.6317853097542672,-0.6831950746749739,-0.8332630903336716,1.4302772179267431,-0.300251708848013,0.6852758620689655,Germany,27.0,4.0,0.78425,3.341491810344828,3.890448961274097
Lewis Ferguson,MF,1.735378335927453,-0.10755225085337605,-0.13681403150222968,0.10944589491001848,0.1578828159269804,-0.05984483552564246,1.5834210448945991,Italy,23.0,2.0,0.87481,3.5479261791814896,3.8911072653307373
Jordan Clark,MF,0.1814714239024629,-0.3220442553841899,-0.32692543509529554,-0.165289323531327,-0.23595354659675571,-0.13196689752235363,1.187382272054157,England,29.0,1.0,0.99232,3.919878476835202,3.895098425163586
Ben Osborn,"DF,MF",0.25099992919903563,-0.29684018197139117,-0.49716548815840794,-0.1419895744368217,-0.44801928026338284,0.012277226471068707,1.1449465598891158,England,28.0,1.0,0.99232,3.7922952639279255,3.897056643432326
Jonathan Burkardt,"FW,MF",0.43972015786116153,-0.276869741289119,-0.0443653973734593,-0.5987661688917021,0.9758506457839707,-0.01176346086116837,1.0074633039034515,Germany,23.0,4.0,0.78425,3.150913647537244,3.897272417071345
Sardar Azmoun,"FW,MF",-0.6120364381330257,0.04511521001890095,-0.6193349437926672,-0.48003081423896493,0.9455555409744525,-0.300251708848013,0.8767692307692309,Italy,28.0,2.0,0.87481,3.5886025000000004,3.89897941248313
Diego Moreira,"FW,MF",-0.9596789646158892,-0.1650352734683945,0.4830125535804828,-0.054685374512466904,-0.44801928026338284,-0.300251708848013,1.6666666666666667,France,18.0,5.0,0.6495000000000001,3.0457083333333337,3.900150377771433
Cheick Doucouré,MF,-0.24342499735437031,-0.1828911969019555,-0.5711147377051801,0.1293301398994958,-0.44801928026338284,-0.300251708848013,1.3320958416010582,England,23.0,1.0,0.99232,3.413942297040688,3.903692649699688
Diadie Samassékou,MF,-1.156124582755412,-0.1650352734683945,-0.10890012435683888,0.6014407883989699,-0.44801928026338284,-0.300251708848013,1.9608695652173915,Germany,27.0,4.0,0.78425,4.170627717391305,3.904530542332471
Diadie Samassékou,MF,-1.156124582755412,-0.1650352734683945,-0.10890012435683888,0.6014407883989699,-0.44801928026338284,-0.300251708848013,1.9608695652173915,Spain,27.0,3.0,0.8173900000000001,4.178912717391304,3.904530542332471
Matteo Cancellieri,"FW,MF",0.7156269249110533,-0.2977433677308909,0.0886828783456583,-0.6747429184985502,0.1578828159269804,0.06035860113554279,0.9808207143098042,Italy,21.0,2.0,0.87481,2.956235964301373,3.9056792205193513
Iván Martín,MF,1.7541399960868456,-0.20410615543687963,0.2409323574735834,0.11028080448980036,0.036702396688907735,0.012277226471068707,1.7436708824785008,Spain,24.0,3.0,0.8173900000000001,3.7377335736110258,3.9093007113801765
Leandro Paredes,MF,1.6492954246078868,-0.23651990892084201,-0.4212137193217297,0.7084011385579836,-0.14506823216820122,0.10843997580001695,1.953728587310596,Italy,29.0,2.0,0.87481,4.388626081751887,3.909590134010071
Junior Mwanga,"MF,FW",0.34260097585959964,-0.3403782234588294,-0.2028756616816246,-0.1754443671704497,-0.2662486514062739,-0.1560075848545907,1.228249303919469,France,20.0,5.0,0.6495000000000001,2.960737047547655,3.9098011369021144
Oliver Norwood,MF,0.331564705177604,-0.10811951752391867,-0.8694300322592006,0.07491206415420044,-0.2662486514062739,-0.300251708848013,1.1685,England,32.0,1.0,0.99232,4.207605,3.9099144572423628
Florian Grillitsch,"DF,MF",1.2751658484882336,-0.39716227810468807,-0.41053735899610583,0.39707040297482676,-0.3268388610253102,0.2767247871256763,1.668156862745098,Germany,27.0,4.0,0.78425,3.980364460784314,3.9107793226273992
Eli Junior Kroupi,"FW,MF",-0.061326531101441796,-0.24092294806102899,-0.5930982598145977,-0.7467218817673564,0.8243751217363797,0.30076547445791335,0.6656469864698648,France,17.0,5.0,0.6495000000000001,2.295045541205412,3.9111834448215945
Merveille Papela,"MF,DF",-0.9740261165024836,-0.13363347708523557,-0.04671474574085571,-0.008068397006774156,-0.44801928026338284,-0.300251708848013,1.4675969408291965,Germany,22.0,4.0,0.78425,3.350000511538978,3.912058456292129
Marcos Llorente,"MF,DF",1.5731451569021166,-0.24491703619748334,0.12097842812740633,-0.11935778055275315,0.1881779207364985,0.03631791380330578,1.487561403508772,Spain,28.0,3.0,0.8173900000000001,3.9712624122807023,3.912170111764941
Kike Pérez,"MF,FW",-0.33612967108313396,-0.39025030774330965,-0.16228978979196737,0.19088581998032644,-0.11477312735868307,-0.300251708848013,1.5411783529714762,Spain,26.0,3.0,0.8173900000000001,3.80611342943146,3.913162193637774
Rayan Aït-Nouri,"DF,MF",1.312689168807019,-0.19667955476570928,0.163052524287117,-0.09484877137228606,-0.20565844178723755,-0.2040889595190648,1.4960042505856164,England,22.0,1.0,0.99232,3.420482762880651,3.913529513360016
Norman Theuerkauf,"MF,DF",0.1318082058334824,-0.23008185169065257,-0.4890495525225124,-0.21865226893708467,-0.44801928026338284,-0.13196689752235363,1.0788350164529672,Germany,36.0,4.0,0.78425,4.497305260694429,3.91636522469351
Aimar Oroz,MF,1.3237254394890146,-0.1650352734683945,-0.08984053879107065,-0.06315651961746589,-0.20565844178723755,-0.2040889595190648,1.41281744335186,Spain,21.0,3.0,0.8173900000000001,3.2226788381787093,3.9167714764750867
Samuele Ricci,MF,1.3855285553081904,-0.18557629817016016,-0.19073119032549496,0.07999254829585356,-0.3268388610253102,-0.10792621019011657,1.4936348595915678,Italy,21.0,2.0,0.87481,3.2895651587345194,3.91874612112737
Ilaix Moriba,"MF,FW",-0.5899638967690343,-0.39609625282507255,-0.4384041892651402,-0.25651940204108753,-0.44801928026338284,0.42096891111909857,1.1020636486986557,Spain,20.0,3.0,0.8173900000000001,2.9206888716541264,3.9200188346279057
Oussama Targhalline,MF,-0.12644052812521625,-0.43663326674729674,0.06917517115200661,0.43982192533216086,-0.44801928026338284,-0.300251708848013,1.843765511339324,France,21.0,5.0,0.6495000000000001,3.460822582370561,3.923138309919073
Kévin Van Den Kerkhof,"FW,MF",0.8535803084359991,-0.17786135931503702,0.36465281706169295,-0.6727666246604248,-0.29654375621579204,-0.08388552285787954,1.1042484409856947,France,27.0,5.0,0.6495000000000001,3.580136486640702,3.9249406349990594
Abdoulaye Doucouré,"FW,MF",1.643777289266889,-0.015339038655526561,-0.14057481731847066,-0.21120354396171623,0.279063235165053,-0.22812964685130185,1.3065765982169375,England,30.0,1.0,0.99232,4.09735478884101,3.927009376485154
Martín Payero,MF,0.7244559414566498,-0.43823090200187853,0.06251240299565819,-0.1565417133408101,-0.14506823216820122,-0.05984483552564246,1.3626280623608018,Italy,24.0,2.0,0.87481,3.5044107405345217,3.9294649044586434
Lesley Ugochukwu,MF,-0.9254665255017026,-0.24782182756945018,0.07833016667107072,0.19484590643450128,-0.44801928026338284,-0.300251708848013,1.676834793113863,England,19.0,1.0,0.99232,3.2380226155240117,3.9295695324397393
