Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore,Euclidean Distance
Angelo Stiller,MF,0.8158133898818539,0.11111111111111112,0.02746844840386043,0.08166295471417966,0.004999999999999999,0.015111111111111113,1.9933714427122,Germany,22.0,4.0,0.78425,3.69175393776293,0.5569968395838507
Angelo Stiller,MF,0.8158133898818539,0.11111111111111112,0.02746844840386043,0.08166295471417966,0.004999999999999999,0.015111111111111113,1.9933714427122,Germany,22.0,4.0,0.78425,3.69175393776293,0.5569968395838507
Jon Guridi,MF,0.8109663738261133,0.10738255033557048,0.022404779686333084,0.04368932038834951,0.016666666666666666,0.011555555555555557,1.2518158848384302,Spain,28.0,3.0,0.8173900000000001,3.81802782514498,0.5572547932635847
Dwight McNeil,"MF,FW",0.8757952135716449,0.2149532710280374,0.0553250345781466,0.03941908713692947,0.015,0.01688888888888889,1.7033754217241246,England,23.0,1.0,0.99232,3.655274024120682,0.5574716604576084
Sergio Ruiz,MF,0.7552256891850954,0.043321299638989175,0.027265437048917398,0.045308740978348035,0.0,0.012444444444444445,1.1895888703284996,Spain,28.0,3.0,0.8173900000000001,3.777580265713525,0.5576224905597946
Manuel Akanji,"DF,MF",0.7603756437443199,0.04659498207885305,0.03663878932696137,0.058940661091198734,0.011666666666666667,0.0,1.4908709677419354,England,28.0,1.0,0.99232,4.017146129032258,0.5576596989683711
Benjamin André,MF,0.7782490154498636,0.06643356643356643,0.014785992217898832,0.07003891050583658,0.023333333333333334,0.0,1.5406414519332807,France,32.0,5.0,0.6495000000000001,4.363791943756633,0.5578869190896625
Javier Guerra,MF,0.7564374431990305,0.04316546762589928,0.03763010408326661,0.03242594075260209,0.023333333333333334,0.0035555555555555557,1.0346688055480355,Spain,20.0,3.0,0.8173900000000001,2.876882223606223,0.5583317386318806
Fabio González,MF,0.03695849742502272,0.0,0.0,0.07317073170731707,0.0,0.0,1.3170731707317074,Spain,26.0,3.0,0.8173900000000001,3.66044506097561,0.5583435862923471
İlkay Gündoğan,MF,0.9066949409269918,0.29129129129129133,0.047428189712758854,0.07481629926519708,0.024999999999999998,0.024000000000000004,2.4521296767709595,Spain,32.0,3.0,0.8173900000000001,4.998231789901124,0.5587709987200447
Naby Keïta,"MF,DF",0.032717358376249624,0.0,0.01834862385321101,0.11926605504587155,0.0,0.0,2.3119266055045875,Germany,28.0,4.0,0.78425,4.498814793577982,0.559095645468068
Adrien Rabiot,MF,0.8027870342320509,0.08813559322033898,0.054319124858543934,0.04526593738211996,0.028333333333333335,0.008888888888888889,1.526930183045733,Italy,28.0,2.0,0.87481,4.011207118979726,0.5598192635685499
Felipe Anderson,"FW,MF",0.8388367161466221,0.13636363636363635,0.07797833935018052,0.04548736462093862,0.026666666666666665,0.01688888888888889,1.8663048900557928,Italy,30.0,2.0,0.87481,4.431800678536265,0.5600029204833082
N'Guessan Kouadio,"MF,FW",0.033020296879733416,0.0,0.01818181818181818,0.045454545454545456,0.0,0.0,0.981818181818182,France,20.0,5.0,0.6495000000000001,2.8005568181818186,0.5600584973386944
Tijjani Reijnders,MF,0.8539836413208118,0.1597444089456869,0.0624113475177305,0.0723404255319149,0.016666666666666666,0.008888888888888889,2.223318605125417,Italy,25.0,2.0,0.87481,4.163859593331521,0.5608545038287319
Lilian Egloff,"MF,DF",0.03180854286579824,0.0,0.03773584905660377,0.018867924528301886,0.0,0.0,0.6792452830188679,Germany,20.0,4.0,0.78425,2.6375719339622643,0.5618621801443786
Bobby Clark,MF,0.026658588306573767,0.0,0.06741573033707865,0.033707865168539325,0.0,0.0,1.2134831460674158,England,18.0,1.0,0.99232,2.8368440449438204,0.5619855512104855
Luka Romero,"FW,MF",0.026355649803089975,0.0,0.09090909090909091,0.034090909090909095,0.0,0.0,1.431818181818182,Italy,18.0,2.0,0.87481,2.9493843181818185,0.5622225601076826
Luka Romero,"FW,MF",0.026355649803089975,0.0,0.09090909090909091,0.034090909090909095,0.0,0.0,1.431818181818182,Spain,18.0,3.0,0.8173900000000001,2.935029318181819,0.5622225601076826
Silvan Hefti,"MF,DF",0.034232050893668584,0.0,0.01754385964912281,0.01754385964912281,0.0,0.0,0.4736842105263158,France,25.0,5.0,0.6495000000000001,2.970269736842105,0.5623549585407124
Silvan Hefti,"MF,DF",0.034232050893668584,0.0,0.01754385964912281,0.01754385964912281,0.0,0.0,0.4736842105263158,Italy,25.0,2.0,0.87481,3.026597236842105,0.5623549585407124
Anthony Losilla,MF,0.7800666464707664,0.06643356643356643,0.008540372670807452,0.03881987577639751,0.004999999999999999,0.006222222222222223,0.9324882508795552,Germany,37.0,4.0,0.78425,4.502179863071711,0.562399618486494
Diego Demme,MF,0.02181157225083308,0.0,0.08219178082191782,0.0684931506849315,0.0,0.0,1.9726027397260275,Italy,31.0,2.0,0.87481,4.600894280821918,0.5624425256846836
Gustavo Hamer,MF,0.8812481066343532,0.21671826625387,0.02474226804123711,0.04639175257731958,0.019999999999999997,0.01688888888888889,1.5601684912706264,England,26.0,1.0,0.99232,3.862189519325908,0.5628836172351905
Lewis Cook,MF,0.8436837322023629,0.14838709677419357,0.015793251974156496,0.050969131371141424,0.0,0.008888888888888889,1.3863578259963412,England,26.0,1.0,0.99232,3.749212586897622,0.5631658799675069
Reda Belahyane,MF,0.02696152681005756,0.0,0.022222222222222223,0.044444444444444446,0.0,0.0,1.0,France,19.0,5.0,0.6495000000000001,2.712375,0.563395555295959
