Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR
Unai Ropero,MF,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Méndez,MF,5.0,0.0,18.0,18.0,0.0,0.0,7.2
Liam Henderson,MF,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Sodero,MF,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Iñaki González,MF,5.0,0.0,0.0,0.0,0.0,0.0,0.0
James McConnell,MF,4.0,0.0,0.0,22.5,0.0,0.0,4.5
Abdellah Baallal,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Finley Munroe,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikey Moore,MF,4.0,0.0,45.0,22.5,0.0,0.0,13.5
Ilia Gruev,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Djaoui Cissé,MF,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Parada,MF,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Davide Bettella,MF,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Keller,MF,2.0,0.0,0.0,90.0,0.0,0.0,18.0
Kofi Amoako,MF,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Perea,MF,2.0,0.0,0.0,90.0,0.0,0.0,18.0
Enso Gonzalez,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gore,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diallo,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Diakité,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahmut Kücüksahin,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Matos,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Noam Mayoka-Tika,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamine Diack,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Mendicino,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvi Clúa,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Norbye,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Onyango,MF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
