Player,Position,Minutes Played,Key Passes per 90,Progressive Carries per 90,Progressive Passes per 90,Goals per 90,Assists per 90,CDR,Comp,Age,Ranking (2024),Power Coefficient,RScore
Ilhan Fakili,"MF,FW",94.0,1.0,1.9148936170212765,3.829787234042553,0.0,0.0,1.348936170212766,France,17,5,0.6495000000000001,2.739183510638298
John Fleck,"MF,DF",92.0,2.0,1.956521739130435,2.9347826086956523,0.0,0.0,1.3782608695652177,England,31,1,0.99232,4.243949565217392
Anthony Lozano,"MF,FW",92.0,1.0,0.0,0.9782608695652176,0.0,0.0,0.3956521739130435,Spain,30,3,0.8173900000000001,3.4615214130434784
Anthony Lozano,"MF,FW",92.0,1.0,0.0,0.9782608695652176,0.0,0.0,0.3956521739130435,Spain,30,3,0.8173900000000001,3.4615214130434784
Diadie Samassékou,MF,92.0,1.0,1.956521739130435,6.847826086956522,0.0,0.0,1.9608695652173915,Spain,27,3,0.8173900000000001,4.178912717391304
Diadie Samassékou,MF,92.0,1.0,1.956521739130435,6.847826086956522,0.0,0.0,1.9608695652173915,Germany,27,4,0.78425,4.170627717391305
Reda Belahyane,MF,90.0,0.0,1.0,4.0,0.0,0.0,1.0,Italy,19,2,0.87481,2.7687025000000003
Reda Belahyane,MF,90.0,0.0,1.0,4.0,0.0,0.0,1.0,France,19,5,0.6495000000000001,2.712375
Nicolas Haas,MF,90.0,0.0,0.0,6.0,0.0,0.0,1.2000000000000002,Italy,27,2,0.87481,3.6987025000000004
Bobby Clark,MF,89.0,0.0,3.033707865168539,3.033707865168539,0.0,0.0,1.2134831460674158,England,18,1,0.99232,2.8368440449438204
Famara Diedhiou,"FW,MF",89.0,1.0,5.056179775280898,0.0,0.0,1.01,1.5142359550561797,Spain,30,3,0.8173900000000001,4.188600870786517
Sanjin Prcić,MF,88.0,3.0,0.0,5.113636363636364,0.0,0.0,1.622727272727273,France,29,5,0.6495000000000001,4.1171477272727275
Luka Romero,"FW,MF",88.0,0.0,4.090909090909091,3.0681818181818183,0.0,0.0,1.431818181818182,Italy,18,2,0.87481,2.9493843181818185
Luka Romero,"FW,MF",88.0,0.0,4.090909090909091,3.0681818181818183,0.0,0.0,1.431818181818182,Spain,18,3,0.8173900000000001,2.935029318181819
Hugo González,"MF,FW",87.0,4.0,2.0689655172413794,2.0689655172413794,0.0,1.03,1.936586206896552,Spain,20,3,0.8173900000000001,3.4631285344827587
Stredair Appuah,"FW,MF",84.0,0.0,3.2142857142857144,0.0,0.0,0.0,0.6428571428571429,France,19,5,0.6495000000000001,2.480232142857143
Omenuke Mfulu,"MF,FW",82.0,0.0,1.0975609756097562,1.0975609756097562,0.0,0.0,0.4390243902439025,Spain,29,3,0.8173900000000001,3.389713353658537
Davide Bartesaghi,"DF,MF",79.0,0.0,1.139240506329114,3.4177215189873418,0.0,0.0,0.9113924050632912,Italy,17,2,0.87481,2.5111075632911395
Cesare Casadei,"FW,MF",79.0,2.2222222222222223,1.139240506329114,3.4177215189873418,0.0,0.0,1.3558368495077358,England,20,1,0.99232,3.1293739521800283
Frank Ronstadt,"DF,MF",76.0,2.5,3.5526315789473686,2.3684210526315788,0.0,0.0,1.6842105263157896,Germany,26,4,0.78425,3.8907993421052636
Luke Harris,MF,75.0,0.0,0.0,1.2,0.0,0.0,0.24,England,18,1,0.99232,2.2040800000000003
Marc Guiu,"FW,MF",74.0,1.25,1.2162162162162162,1.2162162162162162,1.22,0.0,0.8584864864864865,Spain,17,3,0.8173900000000001,2.4623637162162164
Nacho Ferri,"FW,MF",74.0,1.25,0.0,2.4324324324324325,1.22,0.0,0.8584864864864865,Germany,18,4,0.78425,2.554078716216216
Diego Demme,MF,73.0,0.0,3.6986301369863015,6.164383561643835,0.0,0.0,1.9726027397260275,Italy,31,2,0.87481,4.600894280821918
